time,cf
01/01 00:00,0.6292727272727272
01/01 01:00,0.6433636363636364
01/01 02:00,0.6446363636363637
01/01 03:00,0.6233636363636363
01/01 04:00,0.6022727272727273
01/01 05:00,0.5818181818181819
01/01 06:00,0.5479999999999999
01/01 07:00,0.5541818181818182
01/01 08:00,0.5602727272727273
01/01 09:00,0.5370909090909091
01/01 10:00,0.5197272727272728
01/01 11:00,0.5007272727272727
01/01 12:00,0.45999999999999996
01/01 13:00,0.45909090909090905
01/01 14:00,0.4601818181818182
01/01 15:00,0.46381818181818185
01/01 16:00,0.46936363636363637
01/01 17:00,0.47963636363636364
01/01 18:00,0.4633636363636363
01/01 19:00,0.49981818181818183
01/01 20:00,0.5431818181818181
01/01 21:00,0.5584545454545454
01/01 22:00,0.5784545454545454
01/01 23:00,0.5944545454545455
02/01 00:00,0.5873636363636364
02/01 01:00,0.6012727272727273
02/01 02:00,0.6062727272727272
02/01 03:00,0.6053636363636363
02/01 04:00,0.6113636363636363
02/01 05:00,0.6175454545454545
02/01 06:00,0.5935454545454545
02/01 07:00,0.6118181818181818
02/01 08:00,0.6293636363636363
02/01 09:00,0.6326363636363636
02/01 10:00,0.6301818181818182
02/01 11:00,0.6222727272727272
02/01 12:00,0.5870909090909091
02/01 13:00,0.6008181818181818
02/01 14:00,0.6218181818181818
02/01 15:00,0.6296363636363637
02/01 16:00,0.6355454545454545
02/01 17:00,0.6371818181818182
02/01 18:00,0.6168181818181818
02/01 19:00,0.627090909090909
02/01 20:00,0.6448181818181818
02/01 21:00,0.6578181818181817
02/01 22:00,0.6676363636363637
02/01 23:00,0.6715454545454546
03/01 00:00,0.6700909090909092
03/01 01:00,0.6914545454545454
03/01 02:00,0.6906363636363636
03/01 03:00,0.6968181818181818
03/01 04:00,0.7089090909090909
03/01 05:00,0.7218181818181818
03/01 06:00,0.7075454545454545
03/01 07:00,0.7225454545454545
03/01 08:00,0.7396363636363635
03/01 09:00,0.7443636363636362
03/01 10:00,0.7456363636363637
03/01 11:00,0.7542727272727273
03/01 12:00,0.7485454545454545
03/01 13:00,0.7674545454545455
03/01 14:00,0.7627272727272728
03/01 15:00,0.7838181818181819
03/01 16:00,0.7906363636363636
03/01 17:00,0.7919999999999999
03/01 18:00,0.7655454545454545
03/01 19:00,0.7583636363636365
03/01 20:00,0.7555454545454545
03/01 21:00,0.7507272727272727
03/01 22:00,0.748
03/01 23:00,0.7505454545454545
04/01 00:00,0.7471818181818182
04/01 01:00,0.7637272727272727
