time,cf
01/01 00:00,0.41954545454545455
01/01 01:00,0.4078181818181818
01/01 02:00,0.3969090909090909
01/01 03:00,0.39518181818181813
01/01 04:00,0.3865454545454545
01/01 05:00,0.3694545454545455
01/01 06:00,0.3441818181818182
01/01 07:00,0.3367272727272727
01/01 08:00,0.33536363636363636
01/01 09:00,0.3265454545454545
01/01 10:00,0.32481818181818184
01/01 11:00,0.32090909090909087
01/01 12:00,0.3074545454545455
01/01 13:00,0.293
01/01 14:00,0.29463636363636364
01/01 15:00,0.29509090909090907
01/01 16:00,0.298
01/01 17:00,0.3029090909090909
01/01 18:00,0.2997272727272727
01/01 19:00,0.31327272727272726
01/01 20:00,0.3292727272727273
01/01 21:00,0.32899999999999996
01/01 22:00,0.33
01/01 23:00,0.32827272727272727
02/01 00:00,0.3183636363636364
02/01 01:00,0.32072727272727275
02/01 02:00,0.32981818181818184
02/01 03:00,0.3450909090909091
02/01 04:00,0.35709090909090907
02/01 05:00,0.3654545454545454
02/01 06:00,0.3720909090909091
02/01 07:00,0.37827272727272726
02/01 08:00,0.3868181818181818
02/01 09:00,0.39354545454545453
02/01 10:00,0.4014545454545454
02/01 11:00,0.40318181818181814
02/01 12:00,0.39072727272727276
02/01 13:00,0.3811818181818181
02/01 14:00,0.3772727272727273
02/01 15:00,0.38818181818181813
02/01 16:00,0.3973636363636363
02/01 17:00,0.4
02/01 18:00,0.3856363636363636
02/01 19:00,0.39009090909090904
02/01 20:00,0.3977272727272727
02/01 21:00,0.40790909090909094
02/01 22:00,0.4235454545454545
02/01 23:00,0.4385454545454545
03/01 00:00,0.4648181818181818
03/01 01:00,0.48390909090909084
03/01 02:00,0.48509090909090913
03/01 03:00,0.48109090909090907
03/01 04:00,0.47963636363636364
03/01 05:00,0.47845454545454547
03/01 06:00,0.47300000000000003
03/01 07:00,0.486
03/01 08:00,0.524
03/01 09:00,0.5553636363636364
03/01 10:00,0.5783636363636364
03/01 11:00,0.5945454545454546
03/01 12:00,0.5939090909090909
03/01 13:00,0.6
03/01 14:00,0.591
03/01 15:00,0.5817272727272728
03/01 16:00,0.5731818181818181
03/01 17:00,0.5611818181818182
03/01 18:00,0.5558181818181818
03/01 19:00,0.5443636363636364
03/01 20:00,0.5391818181818182
03/01 21:00,0.5331818181818182
03/01 22:00,0.5328181818181817
03/01 23:00,0.5434545454545454
04/01 00:00,0.5574545454545454
04/01 01:00,0.566
04/01 02:00,0.5632727272727273
04/01 03:00,0.5679090909090909
04/01 04:00,0.5663636363636364
04/01 05:00,0.563
04/01 06:00,0.5618181818181818
04/01 07:00,0.5574545454545454
04/01 08:00,0.5581818181818181
04/01 09:00,0.5673636363636363
04/01 10:00,0.5791818181818182
04/01 11:00,0.5814545454545454
04/01 12:00,0.5585454545454546
04/01 13:00,0.5461818181818182
04/01 14:00,0.5298181818181819
04/01 15:00,0.5306363636363636
04/01 16:00,0.5362727272727272
04/01 17:00,0.5385454545454545
04/01 18:00,0.5179999999999999
04/01 19:00,0.5167272727272727
04/01 20:00,0.5078181818181818
04/01 21:00,0.5048181818181818
04/01 22:00,0.5052727272727272
04/01 23:00,0.503
05/01 00:00,0.4987272727272727
05/01 01:00,0.48472727272727273
05/01 02:00,0.4802727272727273
05/01 03:00,0.46509090909090905
05/01 04:00,0.4520909090909091
05/01 05:00,0.4349090909090909
05/01 06:00,0.40790909090909094
05/01 07:00,0.3855454545454545
05/01 08:00,0.3624545454545455
05/01 09:00,0.3429090909090909
05/01 10:00,0.33345454545454545
05/01 11:00,0.3307272727272727
05/01 12:00,0.3317272727272727
05/01 13:00,0.33436363636363636
05/01 14:00,0.3336363636363636
05/01 15:00,0.3344545454545455
05/01 16:00,0.3376363636363636
05/01 17:00,0.33254545454545453
05/01 18:00,0.306
05/01 19:00,0.2892727272727273
05/01 20:00,0.27945454545454546
05/01 21:00,0.27772727272727277
05/01 22:00,0.2810909090909091
05/01 23:00,0.2852727272727273
06/01 00:00,0.2972727272727273
06/01 01:00,0.307
06/01 02:00,0.3170909090909091
06/01 03:00,0.32827272727272727
06/01 04:00,0.3406363636363636
06/01 05:00,0.34845454545454546
06/01 06:00,0.32081818181818184
06/01 07:00,0.3358181818181818
06/01 08:00,0.352
06/01 09:00,0.36527272727272725
06/01 10:00,0.3784545454545455
06/01 11:00,0.38181818181818183
06/01 12:00,0.34609090909090906
