time,cf
01/01 00:00,0.0
01/01 01:00,0.0
01/01 02:00,0.0
01/01 03:00,0.0
01/01 04:00,0.0
01/01 05:00,0.0
01/01 06:00,0.0
01/01 07:00,0.0
01/01 08:00,0.012454545454545453
01/01 09:00,0.08136363636363636
01/01 10:00,0.14245454545454544
01/01 11:00,0.18227272727272725
01/01 12:00,0.17781818181818182
01/01 13:00,0.13081818181818183
01/01 14:00,0.07145454545454545
01/01 15:00,0.0
01/01 16:00,0.0
01/01 17:00,0.0
01/01 18:00,0.0
01/01 19:00,0.0
01/01 20:00,0.0
01/01 21:00,0.0
01/01 22:00,0.0
01/01 23:00,0.0
02/01 00:00,0.0
02/01 01:00,0.0
02/01 02:00,0.0
02/01 03:00,0.0
02/01 04:00,0.0
02/01 05:00,0.0
02/01 06:00,0.0
02/01 07:00,0.0
02/01 08:00,0.022272727272727274
02/01 09:00,0.13436363636363635
02/01 10:00,0.23781818181818182
02/01 11:00,0.2928181818181818
02/01 12:00,0.2812727272727273
02/01 13:00,0.19172727272727272
02/01 14:00,0.08781818181818181
02/01 15:00,0.0
02/01 16:00,0.0
02/01 17:00,0.0
02/01 18:00,0.0
02/01 19:00,0.0
02/01 20:00,0.0
02/01 21:00,0.0
02/01 22:00,0.0
02/01 23:00,0.0
03/01 00:00,0.0
03/01 01:00,0.0
03/01 02:00,0.0
03/01 03:00,0.0
03/01 04:00,0.0
03/01 05:00,0.0
03/01 06:00,0.0
03/01 07:00,0.0
03/01 08:00,0.017272727272727273
03/01 09:00,0.09572727272727272
03/01 10:00,0.15763636363636363
03/01 11:00,0.1777272727272727
03/01 12:00,0.15781818181818183
03/01 13:00,0.11218181818181817
03/01 14:00,0.057272727272727274
03/01 15:00,0.0
03/01 16:00,0.0
03/01 17:00,0.0
03/01 18:00,0.0
03/01 19:00,0.0
03/01 20:00,0.0
03/01 21:00,0.0
03/01 22:00,0.0
03/01 23:00,0.0
04/01 00:00,0.0
04/01 01:00,0.0
04/01 02:00,0.0
04/01 03:00,0.0
04/01 04:00,0.0
04/01 05:00,0.0
04/01 06:00,0.0
04/01 07:00,0.0
04/01 08:00,0.019454545454545454
04/01 09:00,0.11154545454545456
04/01 10:00,0.18990909090909092
04/01 11:00,0.22190909090909094
04/01 12:00,0.20118181818181818
04/01 13:00,0.1409090909090909
04/01 14:00,0.07154545454545454
04/01 15:00,0.0
04/01 16:00,0.0
04/01 17:00,0.0
04/01 18:00,0.0
04/01 19:00,0.0
04/01 20:00,0.0
04/01 21:00,0.0
04/01 22:00,0.0
04/01 23:00,0.0
05/01 00:00,0.0
05/01 01:00,0.0
05/01 02:00,0.0
05/01 03:00,0.0
05/01 04:00,0.0
05/01 05:00,0.0
05/01 06:00,0.0
05/01 07:00,0.0
05/01 08:00,0.02045454545454545
05/01 09:00,0.10218181818181817
05/01 10:00,0.159
05/01 11:00,0.17763636363636362
05/01 12:00,0.16418181818181818
05/01 13:00,0.12181818181818183
05/01 14:00,0.06427272727272727
05/01 15:00,0.0
05/01 16:00,0.0
05/01 17:00,0.0
05/01 18:00,0.0
05/01 19:00,0.0
05/01 20:00,0.0
05/01 21:00,0.0
05/01 22:00,0.0
05/01 23:00,0.0
06/01 00:00,0.0
06/01 01:00,0.0
06/01 02:00,0.0
06/01 03:00,0.0
06/01 04:00,0.0
06/01 05:00,0.0
06/01 06:00,0.0
06/01 07:00,0.0
06/01 08:00,0.015545454545454545
06/01 09:00,0.08645454545454546
06/01 10:00,0.14436363636363636
06/01 11:00,0.17063636363636364
06/01 12:00,0.1541818181818182
06/01 13:00,0.11281818181818183
06/01 14:00,0.05472727272727273
06/01 15:00,0.0
06/01 16:00,0.0
06/01 17:00,0.0
06/01 18:00,0.0
06/01 19:00,0.0
06/01 20:00,0.0
06/01 21:00,0.0
06/01 22:00,0.0
06/01 23:00,0.0
07/01 00:00,0.0
07/01 01:00,0.0
07/01 02:00,0.0
07/01 03:00,0.0
07/01 04:00,0.0
07/01 05:00,0.0
07/01 06:00,0.0
07/01 07:00,0.0
07/01 08:00,0.018727272727272728
07/01 09:00,0.10227272727272728
07/01 10:00,0.17354545454545456
07/01 11:00,0.19045454545454546
07/01 12:00,0.16763636363636364
