time,demand
01/01 00:00,3210.98
01/01 01:00,3100.02
01/01 02:00,2980.39
01/01 03:00,2933.49
01/01 04:00,2941.54
01/01 05:00,2999.89
01/01 06:00,3176.8
01/01 07:00,3292.27
01/01 08:00,3378.64
01/01 09:00,3562.9
01/01 10:00,3736.05
01/01 11:00,3837.81
01/01 12:00,3878.28
01/01 13:00,3856.4
01/01 14:00,3985.15
01/01 15:00,4262.07
01/01 16:00,4495.76
01/01 17:00,4491.8
01/01 18:00,4290.82
01/01 19:00,4047.51
01/01 20:00,3857.01
01/01 21:00,3588.33
01/01 22:00,3412.59
01/01 23:00,3212.1
02/01 00:00,2996.22
02/01 01:00,2942.88
02/01 02:00,2944.18
02/01 03:00,3019.46
02/01 04:00,3104.17
02/01 05:00,3523.94
02/01 06:00,3868.58
02/01 07:00,4190.57
02/01 08:00,4337.33
02/01 09:00,4515.6
02/01 10:00,4523.41
02/01 11:00,4474.24
02/01 12:00,4449.32
02/01 13:00,4396.41
02/01 14:00,4429.72
02/01 15:00,4741.13
02/01 16:00,5178.7
02/01 17:00,5091.42
02/01 18:00,4725.76
02/01 19:00,4319.18
02/01 20:00,4131.82
02/01 21:00,3823.52
02/01 22:00,3530.62
02/01 23:00,3391.71
03/01 00:00,3277.54
03/01 01:00,3116.86
03/01 02:00,3041.39
03/01 03:00,3015.66
03/01 04:00,3078.47
03/01 05:00,3322.07
03/01 06:00,3636.03
03/01 07:00,3888.58
03/01 08:00,4062.27
03/01 09:00,4177.13
03/01 10:00,4136.56
03/01 11:00,4073.81
03/01 12:00,4048.1
03/01 13:00,3986.69
03/01 14:00,3967.88
03/01 15:00,4337.85
03/01 16:00,4825.59
03/01 17:00,4751.57
03/01 18:00,4325.66
03/01 19:00,4048.36
03/01 20:00,3792.96
03/01 21:00,3570.88
03/01 22:00,3377.74
03/01 23:00,3186.15
04/01 00:00,3058.45
04/01 01:00,2963.9
04/01 02:00,2949.49
04/01 03:00,2961.16
04/01 04:00,2977.69
04/01 05:00,3115.01
04/01 06:00,3343.84
04/01 07:00,3643.23
04/01 08:00,3897.32
04/01 09:00,4042.52
04/01 10:00,4104.91
04/01 11:00,4035.38
04/01 12:00,3959.05
04/01 13:00,3920.59
04/01 14:00,3974.44
04/01 15:00,4452.74
04/01 16:00,4939.97
04/01 17:00,4815.78
04/01 18:00,4470.47
04/01 19:00,4139.33
04/01 20:00,3909.8
04/01 21:00,3512.29
04/01 22:00,3348.25
04/01 23:00,3190.45
05/01 00:00,3079.55
05/01 01:00,2973.79
05/01 02:00,2944.5
05/01 03:00,3001.08
05/01 04:00,3311.06
05/01 05:00,4047.1
05/01 06:00,4814.13
05/01 07:00,5047.54
05/01 08:00,5088.35
05/01 09:00,5145.24
05/01 10:00,5104.36
05/01 11:00,5021.55
05/01 12:00,5024.23
05/01 13:00,4985.56
05/01 14:00,4912.72
05/01 15:00,5149.11
05/01 16:00,5524.92
05/01 17:00,5257.0
05/01 18:00,4904.15
05/01 19:00,4557.88
05/01 20:00,4230.98
05/01 21:00,3850.42
05/01 22:00,3486.25
05/01 23:00,3249.55
06/01 00:00,3137.68
06/01 01:00,3102.22
06/01 02:00,3088.44
06/01 03:00,3168.03
06/01 04:00,3426.04
06/01 05:00,4117.36
06/01 06:00,4892.08
06/01 07:00,5165.19
06/01 08:00,5122.75
06/01 09:00,5174.32
06/01 10:00,5187.91
06/01 11:00,5127.24
